tconst,originalTitle,year,genres,Rating,director,plot
tt11718596,The Covenant,2023,Drama,8.1,"David Batty, Ben Hilton","Aranjali is all set to celebrate the annual temple festival. Some unforeseen chain of events involving an elephant, a few young men, a notorious criminal, a drama troop and some trouble-loving villagers brings complete mayhem to the place."
tt11718902,Ajagajantharam,2021,"Action,Comedy",6.7,Tinu Pappachan,"In London, Dev, an overweight, genius chef who suffers with muscle spasms, meets Tara and love blossoms, but things take an interesting turn when he crosses paths with Maya."
tt11719504,L'Invitation,2022,Documentary,7.8,Fabrizio Maltese,"It's a story about Gunjor Kaur, a college student, who is in love with Navjyot, son of a businessman from Amritsar, Balwant Singh. Will Guri and Navjot succeed in their plan to convince their families?"
tt11720140,Teri Meri Gal Ban Gayi,2022,Drama,6.8,"Preeti Sapru, Swapnil Arora, Anand Shankar Muppanar","An invitation from Timbuktu director Abderrahmane Sissako to visit and film his homeland, Mauritania, results in an epic yet ultimately intimate journey that retraces the threads of a relationship interrupted all too soon."
tt11724384,I Wish I Never Met You,2022,Drama,5.8,Kristina LaFerne Roberts,"A fictional autobiography about an insecure, awkward and lonely actor who goes on an unwitting journey of self-love in the midst of an eating disorder relapse."
tt11724502,Look at Me,2024,"Comedy,Drama",7.0,Taylor Olson,"Akhil and Pooja have a love story with a touch of comedy, where they confront their ideas of married life."
tt11725680,Most Eligible Bachelor,2021,"Drama,Romance",6.2,Bommarillu Baskar,"Lauren Thomas is turning 40 and no one is more excited than her. She is married to an amazing husband, a true provider and father: Andrew Thomas. Andrew's brother, Franklin, is in a wheelchair due to a military attack. His wife, Mahogany, is currently pregnant with their first child. The two couples, along with three other couples and a few friends, are celebrating La... Read all"
tt11727866,Catherine Called Birdy,2022,Adventure,6.6,Lena Dunham,"This is the story of a family in waiting. Even amongst the despairing, often hopeless, lives they as a family lead, they find reasons to celebrate life and to live on. To continue waiting for what is yet to come."
tt11729298,American Underdog,2021,"Biography,Drama,Romance",7.1,"Andrew Erwin, Jon Erwin","The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star."
tt11730576,Cycle,2021,Comedy,9.1,Aatla Arjun Reddy,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.
tt11732494,Intezaar,2022,Drama,7.9,Sakina Samo,"Two teenage boys of same thoughts are facing similar problems with their girl friends. When they finally won their love, frightened and soon separated because of the beliefs on horoscope."
tt11735158,Studio One Forever,2023,Documentary,9.2,Marc Saltarelli,"A married Hollywood agent receives a mysterious letter for an anonymous sexual encounter and becomes ensnared in a sinister world of lying, murder and infidelity."
tt11738112,Mosaic,2024,Horror,5.4,"Alexander Churchyard, Michael Holiday","STUDIO ONE FOREVER is the untold story of America's iconic gay disco, a kaleidoscopic excursion into LGBTQ+ history through the lens of this groundbreaking club. With Chita Rivera, Bruce Vilanch, Lance Bass, Thelma Houston and many more."
tt11738830,The Beta Test,2021,"Comedy,Drama,Mystery",6.1,"Jim Cummings, PJ McCabe",A detective investigates a number of both recent and cold case killings; is there a connection?
tt11739498,30 Rojullo Preminchadam Ela,2021,"Fantasy,Romance",5.7,Munna,"Two college students, Arjun and Akshara, get off on the wrong foot and develop an instant hatred for each other. However, they land in a pickle and realise their connection from a past life."
tt11741044,I Was a Simple Man,2021,Drama,6.1,Christopher Makoto Yogi,"""We are as gods and might as well get good at it,"" Stewart Brand wrote in '68. The pioneer of LSD, cyberspace, futurism, and modern environmentalism now urges people to use our god-like powers to fight extinction by reviving lost species."
tt11741708,We Are As Gods,2021,Documentary,7.2,"David Alvarado, Jason Sussberg",A family in Hawai'i faces the imminent death of their eldest as the ghosts of the past haunt the countryside.
tt11742162,Sam Now,2022,"Adventure,Documentary,Drama",7.8,Reed Harkness,Sam Harkness and his half-brother Reed go on a road trip to find their missing mom. But solving the mystery of her disappearance is only the beginning of their story.
tt11742798,Afterlife of the Party,2021,"Comedy,Drama,Fantasy",5.8,Stephen Herek,A ruthless Punjabi gangster and his friends clash with a rival gang protecting a corrupt politician.
